referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2015-08,2015,08,0.22,-0.01,0.29,0.37,0.2,-0.27,0.62,0.75,0.82,0.14,-0.00193,0.045239999999999995,0.01406,0.0092,-0.05562,0.08370000000000001,0.08025,0.050019999999999995,0.007980000000000001,false,Num201508
2015-09,2015,09,0.54,0.24,1.3,0.19,0.5,0.71,0.55,0.33,0.25,0.01,0.04632,0.2028,0.00722,0.023,0.14625999999999997,0.07425000000000001,0.03531,0.01525,0.0005700000000000001,false,Num201509
2015-10,2015,10,0.82,0.77,0.75,0.39,0.67,1.72,0.55,0.57,0.1,0.39,0.14861000000000002,0.11699999999999999,0.01482,0.03082,0.35431999999999997,0.07425000000000001,0.060989999999999996,0.0061,0.022230000000000003,false,Num201510
2015-11,2015,11,1.01,1.83,0.76,0.31,0.79,1.08,0.64,0.52,0.22,1.03,0.35319,0.11856,0.011779999999999999,0.036340000000000004,0.22248,0.0864,0.05564,0.01342,0.058710000000000005,false,Num201511
2015-12,2015,12,0.96,1.5,0.49,0.46,1.15,1.36,0.7,0.57,0.22,0.43,0.2895,0.07644,0.01748,0.052899999999999996,0.28016,0.0945,0.060989999999999996,0.01342,0.02451,true,Num201512
2016-01,2016,01,1.27,2.28,0.81,0.45,-0.24,1.77,0.81,1.19,0.31,0.22,0.44004,0.12636,0.0171,-0.01104,0.36462,0.10935000000000002,0.12733,0.01891,0.01254,false,Num201601
2016-02,2016,02,0.9,1.06,-0.15,1.01,0.24,0.62,0.94,0.77,5.9,0.66,0.20458,-0.0234,0.03838,0.01104,0.12772,0.1269,0.08239,0.3599,0.03762,false,Num201602
2016-03,2016,03,0.43,1.24,-0.64,0.7,0.69,0.16,0.78,0.6,0.63,-1.65,0.23932,-0.09984,0.0266,0.03174,0.032959999999999996,0.1053,0.0642,0.03843,-0.09405,false,Num201603
2016-04,2016,04,0.61,1.09,-0.38,0.26,0.4,0.03,2.33,0.23,0.2,1.47,0.21037000000000003,-0.05928,0.00988,0.0184,0.00618,0.31455000000000005,0.02461,0.0122,0.08379,false,Num201604
2016-05,2016,05,0.78,0.78,1.79,0.63,0.91,-0.58,1.62,1.35,0.16,0.01,0.15054,0.27924,0.02394,0.04186,-0.11947999999999999,0.21870000000000003,0.14445,0.00976,0.0005700000000000001,false,Num201605
2016-06,2016,06,0.35,0.71,0.63,0.26,0.32,-0.53,0.83,0.35,0.11,0.04,0.13702999999999999,0.09828,0.00988,0.01472,-0.10918,0.11205,0.03745,0.00671,0.0022800000000000003,false,Num201606
2016-07,2016,07,0.52,1.32,-0.29,0.53,-0.38,0.4,0.61,0.7,0.04,0.02,0.25476000000000004,-0.045239999999999995,0.02014,-0.01748,0.0824,0.08235,0.0749,0.00244,0.0011400000000000002,false,Num201607
2016-08,2016,08,0.44,0.3,0.3,0.36,0.15,0.27,0.8,0.96,0.99,-0.02,0.0579,0.0468,0.01368,0.0069,0.05562,0.10800000000000001,0.10271999999999999,0.06039,-0.0011400000000000002,false,Num201608
2016-09,2016,09,0.08,-0.29,0.63,-0.23,0.43,-0.1,0.33,0.1,0.18,0.18,-0.05597,0.09828,-0.00874,0.01978,-0.0206,0.044550000000000006,0.010700000000000001,0.01098,0.01026,false,Num201609
2016-10,2016,10,0.26,-0.05,0.42,-0.13,0.45,0.75,0.43,0.01,0.02,0.07,-0.00965,0.06552,-0.00494,0.0207,0.1545,0.058050000000000004,0.00107,0.00122,0.0039900000000000005,false,Num201610
2016-11,2016,11,0.18,-0.2,0.3,-0.16,0.2,0.28,0.57,0.47,0.06,0.27,-0.0386,0.0468,-0.00608,0.0092,0.05768,0.07695,0.050289999999999994,0.0036599999999999996,0.015390000000000001,false,Num201611
2016-12,2016,12,0.3,0.08,-0.59,-0.31,0.32,1.11,0.49,1.01,0.07,0.02,0.01544,-0.09204,-0.011779999999999999,0.01472,0.22866,0.06615,0.10807,0.00427,0.0011400000000000002,true,Num201612
2017-01,2017,01,0.38,0.35,0.17,-0.1,-0.36,0.77,0.55,0.45,0.29,0.63,0.06755,0.026520000000000002,-0.0038,-0.01656,0.15861999999999998,0.07425000000000001,0.04815,0.017689999999999997,0.035910000000000004,false,Num201701
2017-02,2017,02,0.33,-0.45,0.24,0.18,-0.13,0.24,0.65,0.31,5.04,0.66,-0.08685000000000001,0.03744,0.00684,-0.00598,0.04944,0.08775000000000001,0.03317,0.30744,0.03762,false,Num201702
2017-03,2017,03,0.25,0.34,1.18,-0.29,-0.12,-0.86,0.69,0.52,0.95,-0.63,0.06562000000000001,0.18408,-0.011019999999999999,-0.00552,-0.17715999999999998,0.09315,0.05564,0.057949999999999995,-0.035910000000000004,false,Num201703
