referencia,estado,poluente_emitido,quantidade
2021,AMAPA,,1927.6699999999998
2021,PARAIBA,,148870.7299999999
2021,TOCANTINS,,42013.15000000001
2021,ACRE,,21513.239999999998
2022,PERNAMBUCO,,692509.6100000005
2022,PARAIBA,,344962.83
2022,RIO GRANDE DO NORTE,,9515137.699999992
2022,CEARA,,1372270.140000001
2022,SERGIPE,,13817.350000000004
2022,PARANA,,6932305.05999996
2022,PARA,,189082.56000000032
2022,MATO GROSSO,,15216974.87
2022,MATO GROSSO DO SUL,,159507808.9500001
2022,AMAPA,,624.44
2022,AMAZONAS,,147787293500.4902
2022,ALAGOAS,,21525.10000000001
2022,MINAS GERAIS,,2294611.5199999637
2022,MARANHAO,,78273.15
2022,RIO GRANDE DO SUL,,1189128.9400000046
2022,BAHIA,,5536652.029999957
2022,ESPIRITO SANTO,,270634.5700000004
2022,RIO DE JANEIRO,,1563030.980000001
2022,RONDONIA,,55064.349999999984
2022,SAO PAULO,,6532275.749999951
2022,PIAUI,,393490.3500000001
2022,ACRE,,5523.93
2022,DISTRITO FEDERAL,,60593.22
2022,SANTA CATARINA,,1119083.3500000027
2022,TOCANTINS,,458003.35000000015
2022,RORAIMA,,222.70999999999998
2022,GOIAS,,9791716.59999998
SO DO SUL,,159507798.9500002
2022,MINAS GERAIS,,2294217.0999999805
