referencia,estado,municipio,poluente_emitido,quantidade
2013,MATO GROSSO DO SUL,TERENOS,Monóxido de carbono (CO),1336.62
2013,SANTA CATARINA,CURITIBANOS,Material Particulado (MP),748.27
2013,RIO DE JANEIRO,JAPERI,Óxidos de nitrogênio (NOx),3.47
2013,PARANA,CURIUVA,Monóxido de carbono (CO),45.77
2013,SERGIPE,NOSSA SENHORA DO SOCORRO,Óxidos de nitrogênio (NOx),126.57
2013,RIO GRANDE DO SUL,MARQUES DE SOUZA,Monóxido de carbono (CO),0.01
2013,SANTA CATARINA,CAMPO ERE,Material Particulado (MP),0.11
2013,SAO PAULO,COSMOPOLIS,Partículas (PM10),3
2013,MINAS GERAIS,LAGOA SANTA,Monóxido de carbono (CO),0.01
2013,BAHIA,CATU,Monóxido de carbono (CO),1359.8
2013,RIO GRANDE DO SUL,ESTANCIA VELHA,Monóxido de carbono (CO),0.02
2013,RIO DE JANEIRO,ITATIAIA,Óxidos de enxofre (SOx),0.17
2013,MATO GROSSO,TABAPORA,Material Particulado (MP),0
2013,PARAIBA,TENORIO,Óxidos de nitrogênio (NOx),0.11
2013,SAO PAULO,CERQUILHO,Óxidos de enxofre (SOx),0.28
2013,SANTA CATARINA,FORQUILHINHA,Óxidos de enxofre (SOx),384.67
2013,SAO PAULO,SAO JOSE DO RIO PARDO,Monóxido de carbono (CO),100
2013,ESPIRITO SANTO,BARRA DE SAO FRANCISCO,Monóxido de carbono (CO),5.79
2013,PARANA,PALMAS,Monóxido de carbono,14.71
2013,PARAIBA,PICUI,Material Particulado (MP),1
2013,MINAS GERAIS,SAO FRANCISCO DO GLORIA,Material Particulado (MP),2
2013,PARANA,CAFELANDIA,Monóxido de carbono (CO),9.08
2013,SAO PAULO,POMPEIA,Óxidos de enxofre (SOx),0
2013,RIO DE JANEIRO,SAO GONCALO,Material Particulado (MP),0.8
2013,SAO PAULO,BAURU,Material Particulado (MP),7.859999999999999
2013,MINAS GERAIS,GUAPE,Material Particulado (MP),1
2013,PARAIBA,SANTA RITA,Material Particulado (MP),1.1
2013,SANTA CATARINA,CONCORDIA,Óxidos de enxofre (SOx),1.5899999999999999
2013,SAO PAULO,VALPARAISO,Óxidos de nitrogênio (NOx),882.76
2013,MARANHAO,SAO LUIS,Dióxido de enxofre,7793.400000000001
2013,SAO PAULO,LARANJAL PAULISTA,Material Particulado (MP),41.22
2013,MINAS GERAIS,JANAUBA,Óxidos de enxofre (SOx),1.09
2013,SAO PAULO,FARTURA,Material Particulado (MP),1
2013,PERNAMBUCO,CORTES,Monóxido de carbono (CO),0.94
2013,SAO PAULO,AVARE,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",11805.02
2013,CEARA,JUAZEIRO DO NORTE,Material Particulado (MP),13946.460000000001
2013,GOIAS,POSSE,Material Particulado (MP),72.02
2013,BAHIA,JACARACI,Material Particulado (MP),0.01
2013,RIO GRANDE DO NORTE,MOSSORO,Material Particulado (MP),13.209999999999996
2013,MINAS GERAIS,JUIZ DE FORA,Óxidos de nitrogênio (NOx),753.55
2013,SAO PAULO,PARAISO,Óxidos de nitrogênio (NOx),253
2013,MINAS GERAIS,FRUTAL,Óxidos de nitrogênio (NOx),1.54
2013,SANTA CATARINA,FRAIBURGO,Material Particulado (MP),0.04
2013,SANTA CATARINA,GUARUJA DO SUL,Monóxido de carbono (CO),0.1
2013,SAO PAULO,PRESIDENTE PRUDENTE,Óxidos de enxofre (SOx),0.06
2013,PARA,ULIANOPOLIS,Material Particulado (MP),6760.2
2013,MATO GROSSO,CACERES,Monóxido de carbono (CO),0.01
2013,SAO PAULO,ARARAS,Óxidos de enxofre (SOx),0.54
2013,RONDONIA,CUJUBIM,Material Particulado (MP),8512
2013,SAO PAULO,BREJO ALEGRE,Óxidos de nitrogênio (NOx),360.69
2013,SAO PAULO,CASA BRANCA,Monóxido de carbono (CO),1400
2013,SANTA CATARINA,SCHROEDER,Óxidos de nitrogênio (NOx),0.01
2013,MINAS GERAIS,VICOSA,Monóxido de carbono (CO),100
2013,SAO PAULO,TEODORO SAMPAIO,Material Particulado (MP),3.1999999999999997
2013,MATO GROSSO,ALTO TAQUARI,Material Particulado (MP),89.92
2013,SAO PAULO,EMBU,Monóxido de carbono (CO),10147328.379999999
2013,BAHIA,SAO FRANCISCO DO CONDE,Dióxido de enxofre,228.95000000000002
2013,SANTA CATARINA,SAUDADES,Material Particulado (MP),0
2013,MATO GROSSO DO SUL,CAMPO GRANDE,Dióxido de enxofre,1.96
2013,SAO PAULO,MENDONCA,Óxidos de nitrogênio (NOx),468
2013,MARANHAO,BARRA DO CORDA,Monóxido de carbono (CO),1.8
2013,RIO DE JANEIRO,SAO GONCALO,Óxidos de nitrogênio (NOx),39
2013,SANTA CATARINA,PRESIDENTE GETULIO,Material Particulado (MP),82.66
2013,TOCANTINS,DUERE,Óxidos de nitrogênio (NOx),0.5
2013,RIO GRANDE DO SUL,CACHOEIRINHA,Material Particulado (MP),146.79
2013,MATO GROSSO DO SUL,MARACAJU,Óxidos de nitrogênio (NOx),78.17
2013,RIO GRANDE DO SUL,ARARICA,Óxidos de enxofre (SOx),1.2
