referencia,estado,poluente_emitido,quantidade
2019,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",990.92
2021,PARANA,Monóxido de carbono,66.24
2021,ESPIRITO SANTO,Material Particulado (MP),77483.05999999976
2021,AMAZONAS,Óxidos de nitrogênio (NOx),2540368.669999999
2013,TOCANTINS,Boro; telúrio,0.51
2017,PIAUI,Monóxido de carbono (CO),130829.85
2015,PIAUI,Monóxido de carbono (CO),336748.31
2016,PIAUI,Óxidos de nitrogênio (NOx),168.19
2019,CEARA,Monóxido de carbono (CO),1379016.270000001
2013,PARANA,Material Particulado (MP),26442129.730000064
2022,MINAS GERAIS,Óxidos de enxofre (SOx),18.03
2013,PERNAMBUCO,Monóxido de carbono,558
2014,PIAUI,Monóxido de carbono (CO),15.33
2013,PARANA,Cinzas e resíduos contendo chumbo,400
2015,MATO GROSSO DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",0.15
2022,GOIAS,Óxidos de nitrogênio (NOx),388.91
2014,PIAUI,Óxidos de enxofre (SOx),0.35
2021,SAO PAULO,Óxidos de nitrogênio (NOx),1302093.2899999996
2018,PARA,Monóxido de carbono (CO),765600.6900000003
2021,MATO GROSSO DO SUL,Monóxido de carbono (CO),296465.63999999996
2018,CEARA,Óxidos de enxofre (SOx),331686.00000000023
2017,ACRE,Óxidos de nitrogênio (NOx),5070
2019,PIAUI,Óxidos de enxofre (SOx),17.820000000000004
2020,RORAIMA,Óxidos de enxofre (SOx),7.54
2013,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),110805.51999999993
2020,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),19559.539999999994
2018,PARA,Óxidos de nitrogênio (NOx),18810.37
2021,SANTA CATARINA,Monóxido de carbono (CO),903734.8200000001
2016,AMAPA,Óxidos de enxofre (SOx),1.5
2014,RIO GRANDE DO SUL,Partículas (PM10),11206.59
2014,MINAS GERAIS,Material Particulado (MP),1825871.2500000075
2021,AMAPA,Óxidos de nitrogênio (NOx),0.03
2014,PERNAMBUCO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",33948.94
2013,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),4303.910000000001
2013,PARA,Dióxido de enxofre,266.15999999999997
2016,PIAUI,Óxidos de enxofre (SOx),49.16
2013,MATO GROSSO,Óxidos de enxofre (SOx),45699.93000000001
2021,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),37297.94
2021,ACRE,Óxidos de enxofre (SOx),304.85
2015,DISTRITO FEDERAL,Monóxido de carbono,8.18
2022,MINAS GERAIS,Material Particulado (MP),2245.4500000000007
2014,MINAS GERAIS,Monóxido de carbono,6811.2
2017,ACRE,Óxidos de enxofre (SOx),163
2021,ACRE,Óxidos de nitrogênio (NOx),7141.39
2013,BAHIA,Material Particulado (MP),57664.09
2014,GOIAS,Monóxido de carbono (CO),515777604.69
2015,BAHIA,Monóxido de carbono (CO),696356.7400000002
2022,GOIAS,Material Particulado (MP),1772.6499999999996
2018,BAHIA,Óxidos de nitrogênio (NOx),60250.18999999998
2018,RIO DE JANEIRO,Monóxido de carbono (CO),489291.88000000006
2017,RIO DE JANEIRO,Óxidos de enxofre (SOx),45356.429999999986
2015,MINAS GERAIS,Monóxido de carbono (CO),2796359.3400000012
2014,ESPIRITO SANTO,Material Particulado (MP),166815.17999999996
2016,SAO PAULO,Material Particulado (MP),4022939.770000008
2021,RIO DE JANEIRO,Material Particulado (MP),70244.09000000004
2017,CEARA,Material Particulado (MP),1328455.800000001
2018,RORAIMA,Óxidos de nitrogênio (NOx),23.63
2014,MATO GROSSO,Monóxido de carbono (CO),289585.19000000006
2017,SERGIPE,Óxidos de nitrogênio (NOx),7114.81
2013,ACRE,Monóxido de carbono (CO),11206.67
2013,ACRE,Material Particulado (MP),44.02
2013,ACRE,Óxidos de enxofre (SOx),88
2016,MINAS GERAIS,Desperdício e resíduos de estanho,0
2019,TOCANTINS,Óxidos de nitrogênio (NOx),3690.8800000000006
2022,PERNAMBUCO,Monóxido de carbono (CO),2
2019,TOCANTINS,Material Particulado (MP),8424.410000000005
2013,MATO GROSSO,Óxidos de nitrogênio (NOx),257813.41000000006
2013,RIO DE JANEIRO,Dióxido de enxofre,604.8299999999999
2017,TOCANTINS,Óxidos de enxofre (SOx),15348.240000000003
2019,ALAGOAS,Óxidos de nitrogênio (NOx),422339.44000000006
2016,SAO PAULO,Cloro,551.88
2016,RIO DE JANEIRO,Monóxido de carbono (CO),53486148.18999999
2017,MARANHAO,Óxidos de enxofre (SOx),14261.58
2021,MARANHAO,Monóxido de carbono (CO),14922.029999999999
2018,PARANA,Material Particulado (MP),150571.65999999992
2016,CEARA,Óxidos de nitrogênio (NOx),924384.7599999999
2017,DISTRITO FEDERAL,Monóxido de carbono (CO),7653.26
2018,PIAUI,Material Particulado (MP),40352.87999999999
2021,SAO PAULO,Monóxido de carbono (CO),21807621.659999985
2017,TOCANTINS,Material Particulado (MP),166610.29000000007
2013,MATO GROSSO,Material Particulado (MP),87144.23
2017,RONDONIA,Óxidos de nitrogênio (NOx),2809.58
2016,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),1.43
2016,DISTRITO FEDERAL,Óxidos de enxofre (SOx),1341.51
2020,TOCANTINS,Material Particulado (MP),9465.17
2019,TOCANTINS,Óxidos de enxofre (SOx),369.8799999999999
2014,ALAGOAS,Óxidos de enxofre (SOx),571.61
2019,ALAGOAS,Monóxido de carbono (CO),10336.25
2015,AMAZONAS,Óxidos de enxofre (SOx),97306629.57
2021,AMAZONAS,Óxidos de enxofre (SOx),206805.23
2020,PIAUI,Monóxido de carbono (CO),5003.950000000001
2016,PERNAMBUCO,Material Particulado (MP),162660.44999999992
2020,AMAZONAS,Monóxido de carbono (CO),173362236255.4901
2014,MATO GROSSO,Óxidos de enxofre (SOx),40333.360000000015
2015,ACRE,Material Particulado (MP),125.01
2017,TOCANTINS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",20
2016,PARAIBA,Monóxido de carbono (CO),8065.44
2016,SANTA CATARINA,Óxidos de nitrogênio (NOx),30656.339999999993
2020,PERNAMBUCO,Material Particulado (MP),382758.4699999999
2017,CEARA,Óxidos de nitrogênio (NOx),1093821.4
2020,ACRE,Óxidos de enxofre (SOx),191.38
2015,MINAS GERAIS,Desperdícios e resíduos de chumbo,0.01
2021,CEARA,Monóxido de carbono (CO),706693.2899999998
2016,PARA,Material Particulado (MP),19163.279999999995
2022,GOIAS,Óxidos de enxofre (SOx),144.87
2021,PARA,Óxidos de enxofre (SOx),34411.19999999999
2016,ESPIRITO SANTO,Material Particulado (MP),68923.28000000003
2014,RONDONIA,Óxidos de nitrogênio (NOx),3764.7699999999995
2022,RONDONIA,Óxidos de enxofre (SOx),10
2022,RONDONIA,Monóxido de carbono (CO),38.269999999999996
2013,SANTA CATARINA,Monóxido de carbono (CO),1088870.0900000008
2015,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),31789.98
2017,PERNAMBUCO,Monóxido de carbono (CO),87842.55
2013,PARANA,Partículas (PM10),429.00000000000006
2014,SAO PAULO,Cloro,394.22999999999996
2019,RORAIMA,Óxidos de nitrogênio (NOx),23.69
2020,PARANA,Monóxido de carbono (CO),1075437.6700000006
2014,GOIAS,Óxidos de enxofre (SOx),10287.43
2022,SAO PAULO,Material Particulado (MP),11248.270000000004
2017,GOIAS,Monóxido de carbono (CO),102711642.91999997
2018,DISTRITO FEDERAL,Monóxido de carbono (CO),1328.0500000000002
2020,RONDONIA,Monóxido de carbono (CO),21194.36
2013,SERGIPE,Óxidos de enxofre (SOx),10884.750000000002
2013,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),31905.319999999996
2020,CEARA,Óxidos de nitrogênio (NOx),118796.15999999995
2020,BAHIA,Monóxido de carbono (CO),2056466.2200000007
2018,DISTRITO FEDERAL,Óxidos de enxofre (SOx),43.49
2014,MARANHAO,Óxidos de enxofre (SOx),51202538.470000006
2017,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),578.94
2017,GOIAS,Óxidos de enxofre (SOx),91741.02
2013,CEARA,Material Particulado (MP),30160.53999999999
2015,CEARA,Óxidos de enxofre (SOx),66890774.36999999
2022,PARA,Monóxido de carbono (CO),7.64
2019,RORAIMA,Óxidos de enxofre (SOx),7.52
2019,RIO DE JANEIRO,Óxidos de enxofre (SOx),1159125.6200000008
2014,RIO DE JANEIRO,Material Particulado (MP),319624.0700000004
2020,DISTRITO FEDERAL,Óxidos de enxofre (SOx),19968.309999999998
2022,BAHIA,Material Particulado (MP),139.60000000000002
2022,PARA,Óxidos de enxofre (SOx),0
2020,CEARA,Óxidos de enxofre (SOx),706862.12
2021,MATO GROSSO,Monóxido de carbono (CO),188061.43000000002
2019,RONDONIA,Material Particulado (MP),27466.80000000001
2020,MATO GROSSO,Óxidos de enxofre (SOx),454071
2017,MATO GROSSO DO SUL,Monóxido de carbono (CO),24884.01
2016,ESPIRITO SANTO,Óxidos de enxofre (SOx),32940.32
2017,TOCANTINS,Óxidos de nitrogênio (NOx),14312.179999999997
2013,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",3342553.77
2016,MARANHAO,Monóxido de carbono (CO),1797.4
2013,GOIAS,Monóxido de carbono (CO),85472209.69
2013,BAHIA,Compostos orgânicos voláteis não metânicos(COVNM),5.3
2013,ALAGOAS,Partículas (PM10),1320
2016,DISTRITO FEDERAL,Material Particulado (MP),2492.93
2018,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),20895.41999999999
2022,SANTA CATARINA,Monóxido de carbono (CO),12095.12
2019,ALAGOAS,Óxidos de enxofre (SOx),12.879999999999999
2014,SAO PAULO,"Manganês em formas brutas (lingotes, placas, etc.) e semimanufaturadas (barras, perfis, chapas, etc.); pós; desperdícios e resíduos",4
2020,PARA,Monóxido de carbono (CO),176390.93000000017
2015,AMAZONAS,Óxidos de nitrogênio (NOx),50193885.45
2015,DISTRITO FEDERAL,Monóxido de carbono (CO),1377.7700000000002
2019,PARANA,Óxidos de enxofre (SOx),17553.840000000004
2013,PARAIBA,Óxidos de nitrogênio (NOx),30820.760000000002
2021,CEARA,Óxidos de enxofre (SOx),403999.19000000035
2022,ESPIRITO SANTO,Monóxido de carbono (CO),269.61
2016,AMAZONAS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",35.980000000000004
2017,MINAS GERAIS,Dióxido de enxofre,1.71
2019,MATO GROSSO,Material Particulado (MP),211138.44000000003
2017,SERGIPE,Monóxido de carbono (CO),15465.289999999992
2022,TOCANTINS,Material Particulado (MP),37.14
2015,BAHIA,Material Particulado (MP),281968.6999999998
2018,ALAGOAS,Material Particulado (MP),118043.39
2013,PERNAMBUCO,Óxido nitroso,7977.21
2020,PIAUI,Óxidos de enxofre (SOx),17.77
2018,PARAIBA,Material Particulado (MP),24116.789999999994
2019,ESPIRITO SANTO,Monóxido de carbono (CO),2217937.9099999983
2020,GOIAS,Óxidos de enxofre (SOx),9735.630000000001
2022,CEARA,Monóxido de carbono (CO),17613.2
2020,SAO PAULO,Material Particulado (MP),3690303.9699999727
2017,RONDONIA,Óxidos de enxofre (SOx),639.88
2020,MATO GROSSO,Material Particulado (MP),212436.98
2015,BAHIA,Monóxido de carbono,147
2020,RORAIMA,Material Particulado (MP),5.28
2013,MATO GROSSO DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",76.69
2019,RIO GRANDE DO SUL,Material Particulado (MP),47725.16999999986
2015,RIO DE JANEIRO,Monóxido de carbono (CO),38547041.92999996
2021,DISTRITO FEDERAL,Óxidos de enxofre (SOx),326.07
2018,RONDONIA,Material Particulado (MP),220839.75000000006
2017,PARANA,Óxidos de enxofre (SOx),26317.99
2021,ESPIRITO SANTO,Óxidos de enxofre (SOx),19204.029999999995
2013,PARAIBA,Óxidos de enxofre (SOx),14303.310000000001
2022,MATO GROSSO,Óxidos de enxofre (SOx),0.27999999999999997
2013,ESPIRITO SANTO,Material Particulado (MP),57500.67000000002
2015,PERNAMBUCO,Óxidos de nitrogênio (NOx),24093949961.35
2015,PARA,Monóxido de carbono (CO),153225.03
2020,MATO GROSSO DO SUL,Nitrogênio,3.17
2015,AMAZONAS,Monóxido de carbono,67.17999999999999
2018,AMAPA,Óxidos de enxofre (SOx),0
2015,SAO PAULO,Óxidos de enxofre (SOx),173364.25999999998
2019,MATO GROSSO DO SUL,Monóxido de carbono (CO),265815.16000000003
2016,ACRE,Óxidos de enxofre (SOx),163.08
2021,PARANA,Óxidos de enxofre (SOx),14664.67
2016,ACRE,Material Particulado (MP),9478.060000000001
2014,PIAUI,Óxidos de nitrogênio (NOx),121.3
2014,PARANA,Óxidos de nitrogênio (NOx),874421.9500000003
2013,PARA,Monóxido de carbono (CO),621677.3800000001
2014,TOCANTINS,Óxidos de enxofre (SOx),132.55999999999997
2013,DISTRITO FEDERAL,Nitrogênio,8426.41
2014,MATO GROSSO,Óxidos de nitrogênio (NOx),293483.2900000001
2014,SAO PAULO,Material Particulado (MP),5008448.029999988
2020,RIO GRANDE DO SUL,Monóxido de carbono (CO),83058.54000000002
2014,BAHIA,Monóxido de carbono (CO),293690.07000000007
2021,MATO GROSSO,Óxidos de nitrogênio (NOx),106350.63
2018,SERGIPE,Monóxido de carbono (CO),15900.179999999997
2021,SERGIPE,Óxidos de enxofre (SOx),4882.669999999999
2017,SANTA CATARINA,Monóxido de carbono,4100
2020,SANTA CATARINA,Material Particulado (MP),573694.1000000003
2020,BAHIA,Óxidos de nitrogênio (NOx),39647.85999999995
2018,PARAIBA,Monóxido de carbono (CO),25540.459999999992
2019,MINAS GERAIS,Compostos orgânicos voláteis não metânicos(COVNM),0.01
2013,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),19281.46
2018,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),43685.340000000004
2019,AMAZONAS,Óxidos de nitrogênio (NOx),85492420616.20998
2014,MATO GROSSO DO SUL,Monóxido de carbono (CO),845943.0000000002
2020,ALAGOAS,Óxidos de enxofre (SOx),26.35
2021,PARANA,Monóxido de carbono (CO),366436.9999999999
2018,MATO GROSSO DO SUL,Material Particulado (MP),14528.190000000002
2019,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),634.6199999999999
2020,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),2391.3100000000004
2015,DISTRITO FEDERAL,Óxidos de enxofre (SOx),1523.01
2018,PARAIBA,Óxidos de enxofre (SOx),8072.7300000000005
2014,PARA,Óxidos de enxofre (SOx),33960.29
2013,BAHIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1325278.0300000003
2016,SAO PAULO,Óxidos de nitrogênio (NOx),2092478.85
2021,AMAPA,Monóxido de carbono (CO),1797.55
2014,PARA,Monóxido de carbono (CO),37785.460000000014
2017,PIAUI,Óxidos de enxofre (SOx),6.99
2013,MINAS GERAIS,Ligas de estanho em forma bruta,8.7
2013,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2013,BAHIA,Monóxido de carbono,1380.08
2014,RIO GRANDE DO SUL,Monóxido de carbono,225711.32
2014,SAO PAULO,Monóxido de carbono (CO),1906111.6000000024
2017,SANTA CATARINA,Material Particulado (MP),558341.590000002
2014,CEARA,Óxidos de nitrogênio (NOx),9457.05
2017,CEARA,Dióxido de enxofre,99.2
2017,MARANHAO,Monóxido de carbono (CO),5465.14
2021,TOCANTINS,Material Particulado (MP),32061.159999999996
2015,SERGIPE,Óxidos de nitrogênio (NOx),9831.46
2016,CEARA,Dióxido de enxofre,99.4
2013,ALAGOAS,Monóxido de carbono,3316
2013,SAO PAULO,"1,1,2-Tricloroetano",2391
2016,MATO GROSSO,Material Particulado (MP),10623.350000000006
2014,RIO DE JANEIRO,Óxidos de enxofre (SOx),66825.10999999997
2014,PARAIBA,Óxidos de nitrogênio (NOx),48277.67999999999
2017,RIO GRANDE DO NORTE,Monóxido de carbono (CO),42786.22000000001
2014,RIO DE JANEIRO,Dióxido de enxofre,0.15
2019,BAHIA,Material Particulado (MP),53225.85000000002
2018,GOIAS,Óxidos de nitrogênio (NOx),387224.0500000002
2015,TOCANTINS,Óxidos de enxofre (SOx),1652.91
2018,SAO PAULO,Óxidos de nitrogênio (NOx),2268078.290000002
2015,PARAIBA,Óxidos de nitrogênio (NOx),1653940.26
2019,RIO GRANDE DO NORTE,Monóxido de carbono (CO),3862564.68
2017,RIO DE JANEIRO,Monóxido de carbono (CO),2458472.1699999967
2013,SAO PAULO,Clorobenzeno,2391
2021,MINAS GERAIS,Material Particulado (MP),659620.2600000042
2017,GOIAS,Óxidos de nitrogênio (NOx),822712.0599999997
2020,SERGIPE,Monóxido de carbono (CO),4519244.669999999
2019,MINAS GERAIS,Material Particulado (MP),1015962.8100000037
2018,PERNAMBUCO,Óxidos de enxofre (SOx),166751.88000000006
2014,AMAZONAS,Óxidos de nitrogênio (NOx),52592617.58000001
2013,SAO PAULO,Dióxido de enxofre,759508.4700000001
2019,CEARA,Material Particulado (MP),219808.54000000007
2014,MINAS GERAIS,Óxidos de enxofre (SOx),59622.450000000004
2018,MATO GROSSO DO SUL,Monóxido de carbono (CO),85698.46
2014,MATO GROSSO DO SUL,Material Particulado (MP),589691.7500000002
2022,RIO DE JANEIRO,Monóxido de carbono (CO),159.48
2014,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),1.43
2018,MINAS GERAIS,Material Particulado (MP),6781145.8099999195
2021,BAHIA,Óxidos de nitrogênio (NOx),129577.77000000005
2019,AMAZONAS,Monóxido de carbono (CO),79464133319.15996
2018,PARANA,Monóxido de carbono (CO),119338.51999999997
2019,RIO GRANDE DO NORTE,Material Particulado (MP),2723276.3600000003
2021,ALAGOAS,Monóxido de carbono (CO),6890.63
2017,PERNAMBUCO,Óxidos de nitrogênio (NOx),1307997.7000000002
2020,DISTRITO FEDERAL,Monóxido de carbono (CO),1669.67
2017,RIO GRANDE DO NORTE,Material Particulado (MP),37738.04999999997
2020,ALAGOAS,Material Particulado (MP),9981.55
2015,PARANA,Material Particulado (MP),424948.3500000008
2016,RIO GRANDE DO SUL,Material Particulado (MP),2893846.7999999914
2014,BAHIA,Material Particulado (MP),16066330.200000001
2013,RIO DE JANEIRO,Monóxido de carbono (CO),1273588.94
2020,ALAGOAS,Óxidos de nitrogênio (NOx),4985.35
2014,BAHIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",13194.590000000002
2020,GOIAS,Óxidos de nitrogênio (NOx),17240.280000000006
2013,MARANHAO,Material Particulado (MP),74154.55999999997
2013,PARANA,Óxidos de enxofre (SOx),154795.6500000001
2022,AMAZONAS,Óxidos de nitrogênio (NOx),3.4299999999999997
2014,PARANA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",150
2020,MINAS GERAIS,Monóxido de carbono (CO),2234063.760000001
2019,MATO GROSSO DO SUL,Material Particulado (MP),258359.88999999998
2016,GOIAS,Monóxido de carbono (CO),89660118.57000001
2018,ESPIRITO SANTO,Material Particulado (MP),35107.61999999999
2014,SANTA CATARINA,Monóxido de carbono,3208.1
2013,PARANA,Monóxido de carbono (CO),6945066.359999993
2014,BAHIA,Óxidos de nitrogênio (NOx),2529202.209999998
2014,AMAPA,Material Particulado (MP),64.94
2013,ACRE,Óxidos de nitrogênio (NOx),5000
2015,PARANA,Monóxido de carbono,87.23
2013,MARANHAO,Óxidos de nitrogênio (NOx),1410236.2400000002
2013,SAO PAULO,Benzeno,86812
2018,SANTA CATARINA,Óxidos de nitrogênio (NOx),186725.88999999998
2014,DISTRITO FEDERAL,Monóxido de carbono,8.18
2015,DISTRITO FEDERAL,Nitrogênio,8426.41
2019,MATO GROSSO DO SUL,Monóxido de carbono,7.81
2015,BAHIA,Óxidos de nitrogênio (NOx),2052866.5100000007
2016,RONDONIA,Material Particulado (MP),15771.709999999997
2014,AMAZONAS,Monóxido de carbono (CO),20195283.070000004
2021,PARANA,Óxidos de nitrogênio (NOx),65172.12000000003
2013,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),171328.18
2020,RIO DE JANEIRO,Óxidos de enxofre (SOx),76593.99999999994
2017,PERNAMBUCO,Material Particulado (MP),137327.96
2013,ALAGOAS,Monóxido de carbono (CO),7762.810000000001
2014,SAO PAULO,Eter etilico do etilenoglicol,1
2016,SANTA CATARINA,Monóxido de carbono (CO),406622.2500000002
2014,DISTRITO FEDERAL,Material Particulado (MP),233.73999999999998
2021,BAHIA,Óxidos de enxofre (SOx),44026.189999999995
2019,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),1165903481.2199998
2019,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),12892.77
2015,SAO PAULO,Eter etilico do etilenoglicol,1
2014,SERGIPE,Óxidos de nitrogênio (NOx),8014.289999999999
2016,PARA,Monóxido de carbono (CO),770070.04
2013,AMAZONAS,Material Particulado (MP),4944758.0600000005
2018,RIO DE JANEIRO,Óxidos de enxofre (SOx),60846.809999999976
2015,SAO PAULO,Outros óxidos de chumbo,0.03
2014,SANTA CATARINA,Óxidos de enxofre (SOx),687732.4600000001
2015,MATO GROSSO,Material Particulado (MP),12747.690000000004
2016,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2019,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),437961287.53999996
2020,ACRE,Monóxido de carbono (CO),100087.77
2014,CEARA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",5.57
2013,SAO PAULO,"1,2- dibromoetano",2391
2013,MINAS GERAIS,Material Particulado (MP),18817843399.70991
2014,PARANA,Monóxido de carbono (CO),78528795.47000001
2020,AMAPA,Monóxido de carbono (CO),1565.79
2015,ACRE,Monóxido de carbono (CO),10368.73
2016,TOCANTINS,Monóxido de carbono (CO),7909.410000000001
2013,CEARA,Óxidos de enxofre (SOx),1939.01
2014,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),3784.08
2021,AMAZONAS,Material Particulado (MP),563448.1400000001
2016,MATO GROSSO,Óxidos de enxofre (SOx),536.8999999999999
2014,SANTA CATARINA,Material Particulado (MP),179816.45999999996
2014,MATO GROSSO,Material Particulado (MP),13019.97
2022,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),878.7
2019,RONDONIA,Óxidos de nitrogênio (NOx),3669.1600000000003
2013,MATO GROSSO,Monóxido de carbono (CO),291369.92
2018,ALAGOAS,Óxidos de nitrogênio (NOx),44416.04999999999
2013,SAO PAULO,Tolueno,29415
2020,PARA,Material Particulado (MP),12998.880000000008
2021,PARA,Monóxido de carbono (CO),187129.0900000001
2014,AMAPA,Óxidos de enxofre (SOx),148.76
2018,CEARA,Óxidos de nitrogênio (NOx),218680.30000000002
2021,PARA,Material Particulado (MP),27649.140000000003
2017,MARANHAO,Óxidos de nitrogênio (NOx),7505.52
2021,SAO PAULO,Material Particulado (MP),2063923.5700000098
2018,MARANHAO,Monóxido de carbono (CO),3865.18
2013,BAHIA,Óxidos de nitrogênio (NOx),525418.2000000002
2020,SAO PAULO,Óxidos de nitrogênio (NOx),1557679.750000001
2018,GOIAS,Material Particulado (MP),296156.57000000036
2014,DISTRITO FEDERAL,Óxidos de enxofre (SOx),191.39
2016,ALAGOAS,Óxidos de enxofre (SOx),179.31
2015,SAO PAULO,Monóxido de carbono,0.11
2016,DISTRITO FEDERAL,Monóxido de carbono,8.18
2015,MATO GROSSO,Óxidos de nitrogênio (NOx),4891.330000000002
2014,RONDONIA,Óxidos de enxofre (SOx),2926.4200000000005
2018,ALAGOAS,Óxidos de enxofre (SOx),569.94
2017,MATO GROSSO DO SUL,Material Particulado (MP),42951.68
2021,PERNAMBUCO,Óxidos de nitrogênio (NOx),736303.8699999996
2016,ACRE,Óxidos de nitrogênio (NOx),5071.6
2017,ALAGOAS,Óxidos de enxofre (SOx),128.92
2022,RONDONIA,Óxidos de nitrogênio (NOx),8
2021,CEARA,Material Particulado (MP),256848.8700000004
2018,PERNAMBUCO,Monóxido de carbono (CO),928480.6800000002
2013,ESPIRITO SANTO,Óxidos de enxofre (SOx),38612.31
2017,SERGIPE,Óxidos de enxofre (SOx),3804.1400000000003
2016,GOIAS,Óxidos de nitrogênio (NOx),225583.6
2015,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),7272.790000000001
2021,SAO PAULO,Outros fluoretos,63948
2019,PARANA,Óxidos de nitrogênio (NOx),37396.829999999965
2013,RIO DE JANEIRO,Material Particulado (MP),9130167.83
2017,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),19894.78
2013,MINAS GERAIS,Amoniaco em soluçao aquosa,137.94
2014,RIO GRANDE DO SUL,Material Particulado (MP),514212.01000000024
2018,BAHIA,Óxidos de enxofre (SOx),24226.879999999997
2015,PARANA,Óxidos de enxofre (SOx),20419.739999999987
2018,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),3510.4300000000003
2018,SERGIPE,Óxidos de enxofre (SOx),6002.46
2013,PERNAMBUCO,Dióxido de enxofre,1835.1200000000001
2013,PIAUI,Óxidos de enxofre (SOx),2.7
2014,BAHIA,Monóxido de carbono,0
2013,SAO PAULO,Óxidos de enxofre (SOx),243647.9000000002
2018,PERNAMBUCO,Material Particulado (MP),257066.5500000001
2017,PERNAMBUCO,Óxidos de enxofre (SOx),258059.93
2020,AMAZONAS,Óxidos de enxofre (SOx),1091602335.9900002
2013,MINAS GERAIS,Monóxido de carbono,6873.74
2016,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),10286.369999999999
2015,ALAGOAS,Monóxido de carbono (CO),13467.38
2017,PARANA,Óxidos de nitrogênio (NOx),451660.17000000016
2022,RIO DE JANEIRO,Material Particulado (MP),97.71
2017,AMAZONAS,Monóxido de carbono (CO),13302.070000000003
2022,RIO GRANDE DO SUL,Monóxido de carbono (CO),25.33
2014,ESPIRITO SANTO,Monóxido de carbono (CO),329965.1900000001
2016,PARANA,Óxidos de nitrogênio (NOx),460719.8500000003
2013,BAHIA,Óxidos de enxofre (SOx),570525.28
2013,SAO PAULO,Etilbenzeno,8069
2013,SAO PAULO,Material Particulado (MP),28406453.030000165
2013,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),58.37
2022,PARAIBA,Material Particulado (MP),13000
2015,GOIAS,Material Particulado (MP),215123.31999999995
2017,BAHIA,Óxidos de enxofre (SOx),19947.159999999996
2020,MARANHAO,Monóxido de carbono (CO),2553.8400000000015
2018,RONDONIA,Óxidos de enxofre (SOx),791.06
2018,ACRE,Material Particulado (MP),87.54
2021,ALAGOAS,Óxidos de enxofre (SOx),686.05
2020,PIAUI,Material Particulado (MP),3354.7200000000007
2013,ALAGOAS,Óxidos de nitrogênio (NOx),11302.48
2013,RIO GRANDE DO SUL,Monóxido de carbono (CO),297482.2900000001
2017,RIO DE JANEIRO,Material Particulado (MP),166043.97999999992
2019,GOIAS,Monóxido de carbono (CO),8308353.99
2017,MATO GROSSO DO SUL,Dióxido de enxofre,0
2013,MINAS GERAIS,Nitrogênio,6823.63
2017,RIO GRANDE DO SUL,Material Particulado (MP),54775.300000000156
2021,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),1703838.6000000003
2020,ESPIRITO SANTO,Material Particulado (MP),29619.46999999998
2019,AMAPA,Material Particulado (MP),17.6
2013,PARANA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",66798.40000000001
2022,SANTA CATARINA,Óxidos de enxofre (SOx),0.96
2021,DISTRITO FEDERAL,Material Particulado (MP),478.2799999999999
2021,ESPIRITO SANTO,Monóxido de carbono (CO),2047346.6599999997
2019,RONDONIA,Monóxido de carbono (CO),703318647.6
