referencia,estado,poluente_emitido,quantidade
2018,ACRE,Óxidos de enxofre (SOx),163
2013,ALAGOAS,Óxidos de enxofre (SOx),230.81
2018,CEARA,Material Particulado (MP),275423.04000000027
2015,MARANHAO,Óxidos de enxofre (SOx),383954.5799999999
2014,PARANA,Monóxido de carbono,329.63
2013,MATO GROSSO DO SUL,Dióxido de enxofre,1.96
2018,CEARA,Monóxido de carbono,232.9
2017,BAHIA,Óxidos de nitrogênio (NOx),139265.80000000008
2021,PARA,Óxidos de nitrogênio (NOx),14894.480000000007
2013,RONDONIA,Material Particulado (MP),45631.16000000002
2015,GOIAS,Óxidos de nitrogênio (NOx),354550.4699999999
2016,MINAS GERAIS,Óxidos de nitrogênio (NOx),343835.81000000023
2013,RONDONIA,Monóxido de carbono (CO),85931.65999999992
2013,RIO DE JANEIRO,clorodifluorometano (HCFC-22),81.65
2013,SAO PAULO,Outros óxidos de chumbo,0.05
2019,SAO PAULO,Material Particulado (MP),3209309.1899999934
2014,PARANA,Material Particulado (MP),862128.4200000016
2014,PERNAMBUCO,Material Particulado (MP),147502.75999999995
2018,MATO GROSSO,Material Particulado (MP),122374.26000000001
2020,MATO GROSSO DO SUL,Monóxido de carbono,7.82
2015,PERNAMBUCO,Monóxido de carbono (CO),102892.67000000004
2019,MATO GROSSO,Óxidos de enxofre (SOx),392153.27
2019,SERGIPE,Óxidos de enxofre (SOx),3656.6800000000003
2017,RORAIMA,Monóxido de carbono (CO),30.44
2014,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2021,PARAIBA,Óxidos de nitrogênio (NOx),27886.439999999995
2017,DISTRITO FEDERAL,Material Particulado (MP),636.9599999999998
2018,PARA,Material Particulado (MP),19149.66
2021,ACRE,Monóxido de carbono (CO),12105.04
2014,AMAZONAS,Cloreto de hidrogênio (ácido clorídrico),0
2015,SAO PAULO,Cloro,551.93
2016,BAHIA,Óxidos de nitrogênio (NOx),252565.94000000018
2014,PIAUI,Material Particulado (MP),4786.200000000002
2020,ACRE,Material Particulado (MP),295.3299999999999
2018,RONDONIA,Óxidos de nitrogênio (NOx),4071.2000000000007
2013,BAHIA,Dióxido de enxofre,1145.3200000000002
2020,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",25
2022,MATO GROSSO DO SUL,Material Particulado (MP),71.57
2015,RIO DE JANEIRO,Material Particulado (MP),11979945.319999997
2019,CEARA,Óxidos de nitrogênio (NOx),91774.04999999992
2017,RONDONIA,Monóxido de carbono (CO),319688.70000000007
2018,PARANA,Óxidos de enxofre (SOx),16458.55
2014,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",906
2013,TOCANTINS,Poeiras de zinco,0.71
2016,PARA,Óxidos de nitrogênio (NOx),2833.519999999999
