referencia,estado,municipio,quantidade
2020,ESPIRITO SANTO,DOMINGOS MARTINS,305.88
2019,PERNAMBUCO,TORITAMA,304.2600000000001
2019,SANTA CATARINA,RIO DOS CEDROS,2073.2
2018,SAO PAULO,ARARAQUARA,1867.06
2018,MINAS GERAIS,PARACATU,268.36
2017,BAHIA,CATU,839.45
2014,MINAS GERAIS,PEDRO LEOPOLDO,35560.89
2020,PARANA,PARANAVAI,1898.66
2016,MARANHAO,ZE DOCA,0.5
2019,RONDONIA,CEREJEIRAS,1.25
2016,RIO GRANDE DO SUL,ESTANCIA VELHA,249.96
2018,TOCANTINS,WANDERLANDIA,2.46
2015,MINAS GERAIS,BETIM,15898.92
2013,MINAS GERAIS,PATROCINIO DO MURIAE,0.97
2019,BAHIA,SANTA RITA DE CASSIA,0.15
2017,MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,1137.59
2015,SAO PAULO,BOM JESUS DOS PERDOES,3.34
2016,SAO PAULO,AMERICANA,558.5700000000002
2016,AMAPA,OIAPOQUE,10
2019,SAO PAULO,MOJI MIRIM,50008.05000000001
2019,BAHIA,MORRO DO CHAPEU,1.5
2021,MINAS GERAIS,CONCEICAO DO RIO VERDE,0.01
2014,MINAS GERAIS,SABINOPOLIS,0
2013,PERNAMBUCO,OLINDA,0.14
2018,SAO PAULO,PRESIDENTE EPITACIO,57.870000000000005
2015,SAO PAULO,JAU,662.3399999999999
2019,ALAGOAS,CORURIPE,4870.4
2016,SAO PAULO,PARAGUACU PAULISTA,2226.17
2021,MINAS GERAIS,FARIA LEMOS,0.38
2015,SAO PAULO,PARAIBUNA,1.4100000000000001
2019,RIO GRANDE DO SUL,SANTIAGO,3.9
2014,MINAS GERAIS,NOVA LIMA,11760.470000000001
2016,RIO GRANDE DO SUL,SANTO CRISTO,0.05
2016,MINAS GERAIS,CARANGOLA,71.15
2014,RIO GRANDE DO SUL,EUGENIO DE CASTRO,0.38
2016,SAO PAULO,COTIA,262849.88
2015,MINAS GERAIS,SAO VICENTE DE MINAS,41.97
2020,SAO PAULO,ITAPOLIS,1386956.37
2018,RIO DE JANEIRO,ENGENHEIRO PAULO DE FRONTIN,0.04
2019,PARANA,SAO JOSE DOS PINHAIS,7241.840000000001
2016,BAHIA,VITORIA DA CONQUISTA,352.89000000000004
2019,BAHIA,XIQUE-XIQUE,0.060000000000000005
2016,SAO PAULO,BOCAINA,867
2020,MINAS GERAIS,ARAPUA,1.6
2015,PARANA,FRANCISCO BELTRAO,155.57999999999998
2020,PARANA,PINHALAO,9.64
2013,RIO GRANDE DO SUL,VISTA ALEGRE DO PRATA,15.5
2018,RIO GRANDE DO SUL,BALNEARIO PINHAL,80.44
2015,SANTA CATARINA,CAMPOS NOVOS,624.6299999999999
2015,MINAS GERAIS,BRASILIA DE MINAS,2
2018,TOCANTINS,NATIVIDADE,0
2013,SAO PAULO,BENTO DE ABREU,625.76
2019,ACRE,MARECHAL THAUMATURGO,2.0700000000000003
2019,SANTA CATARINA,MORRO DA FUMACA,174431.2500000001
2020,MINAS GERAIS,CANAPOLIS,1654.1400000000003
2013,PARA,ORIXIMINA,1437.3000000000002
2022,PARANA,GUARAPUAVA,32.26
2016,CEARA,BEBERIBE,13.01
2014,PARANA,JESUITAS,0.17
2019,SAO PAULO,SAO PAULO,280557.93000000017
2018,RIO GRANDE DO SUL,GAURAMA,142.09999999999997
2017,SANTA CATARINA,JOACABA,506.41999999999996
2016,RIO GRANDE DO SUL,VILA MARIA,0.31
2019,MINAS GERAIS,ARAXA,1111.93
2017,MINAS GERAIS,SAO GONCALO DO RIO ABAIXO,3.21
2019,SERGIPE,CAPELA,0.01
2018,SAO PAULO,CERQUEIRA CESAR,150.98999999999998
2020,RIO GRANDE DO SUL,TAPES,0
2018,SAO PAULO,MAUA,4670.580000000001
2015,MATO GROSSO DO SUL,CASSILANDIA,671.56
2013,SANTA CATARINA,NAVEGANTES,1.81
2016,BAHIA,NAZARE,13.96
2016,MINAS GERAIS,PATROCINIO DO MURIAE,28
2020,SAO PAULO,MAIRIPORA,5.0600000000000005
2020,SAO PAULO,ITAPECERICA DA SERRA,108.81
2017,ACRE,TARAUACA,85
2019,PARA,ANANINDEUA,4607.63
2019,RIO GRANDE DO SUL,PINHEIRINHO DO VALE,0.04
2014,ALAGOAS,CAMPO ALEGRE,2232
2017,BAHIA,VALENCA,132.45
2017,PERNAMBUCO,DORMENTES,3
2014,MINAS GERAIS,CARLOS CHAGAS,503.29
2014,SAO PAULO,SUZANAPOLIS,495.85
2019,SAO PAULO,TREMEMBE,19.11
2020,MINAS GERAIS,ESMERALDAS,19.28
2021,MINAS GERAIS,OLIMPIO NORONHA,0.45
2016,SAO PAULO,AGUAS DE SANTA BARBARA,0.29
2013,MINAS GERAIS,ITABIRA,0.47
2018,SAO PAULO,DIRCE REIS,0.8
2020,MINAS GERAIS,ITAU DE MINAS,2757.0600000000004
2017,PARANA,FAZENDA RIO GRANDE,392.39000000000004
2014,SAO PAULO,TAMBAU,0.04
2015,RIO GRANDE DO SUL,SANANDUVA,0.01
2014,BAHIA,VALENTE,0.01
2020,MINAS GERAIS,BOM JARDIM DE MINAS,30
2021,MINAS GERAIS,CAMPOS GERAIS,1
2018,PARAIBA,PICUI,1
2019,PERNAMBUCO,BOM CONSELHO,23.32
2015,SAO PAULO,VOTUPORANGA,14.1
2014,PARANA,MALLET,115.63
2018,RIO GRANDE DO SUL,BOM PRINCIPIO,1221.3
2015,BAHIA,PONTO NOVO,0.05
2018,GOIAS,VILA PROPICIO,1.5
2018,PARANA,MARIALVA,77.31
2017,SAO PAULO,TARUMA,1837.3400000000001
2019,MINAS GERAIS,BURITIZEIRO,1000.15
2021,SANTA CATARINA,ANTONIO CARLOS,6.5200000000000005
2013,SAO PAULO,CABREUVA,3.5100000000000002
2018,BAHIA,OUROLANDIA,0.26
2019,MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,1706.6
2020,MINAS GERAIS,IBIA,15.61
2018,RIO DE JANEIRO,VASSOURAS,0.02
2020,PARA,RIO MARIA,0.8
2018,SAO PAULO,ILHA SOLTEIRA,3.6
2018,MINAS GERAIS,ALFENAS,21.450000000000003
2014,SAO PAULO,BORA,363.86
2013,MINAS GERAIS,RIO PIRACICABA,0.01
2019,CEARA,TAUA,0.01
2020,ESPIRITO SANTO,ITAGUACU,0.01
2014,PARANA,CORNELIO PROCOPIO,56.02
2020,MATO GROSSO DO SUL,SAO GABRIEL DO OESTE,116.19999999999999
2017,SANTA CATARINA,ITA,282.5
2016,MINAS GERAIS,CLARAVAL,421.66999999999996
2021,SAO PAULO,ARCO-IRIS,0.1
2015,SAO PAULO,MARACAI,483.35
2015,SANTA CATARINA,SALETE,190.57999999999998
2015,MATO GROSSO,ARAPUTANGA,112.91
2013,PARANA,CAMPO MAGRO,0
2016,MINAS GERAIS,PORTEIRINHA,0
