referencia,estado,municipio,quantidade
2016,PARA,CURIONOPOLIS,0.6
2015,RIO GRANDE DO SUL,GUAIBA,3966.900000000001
2016,PARANA,GUARANIACU,9.36
2018,MATO GROSSO,CUIABA,9444.310000000003
2020,SANTA CATARINA,AGROLANDIA,28.189999999999998
2020,MATO GROSSO DO SUL,SETE QUEDAS,9.469999999999999
2014,MINAS GERAIS,BRASOPOLIS,2.4299999999999997
2013,SAO PAULO,ESPIRITO SANTO DO PINHAL,0
2014,PARA,MARABA,12709.7
2016,SAO PAULO,CANITAR,182.6
2020,MINAS GERAIS,NOVA SERRANA,83.05000000000001
2021,BAHIA,JACOBINA,5055.63
2014,CEARA,TRAIRI,0.5
2020,RIO DE JANEIRO,MIRACEMA,3.3
2017,BAHIA,CAMPO ALEGRE DE LOURDES,0.01
2017,MINAS GERAIS,MONTE CARMELO,4.55
2017,SAO PAULO,MACATUBA,1070
2017,MINAS GERAIS,IGARATINGA,173.4899999999999
2014,RIO GRANDE DO SUL,ERVAL SECO,0.05
2018,SAO PAULO,SAO SEBASTIAO,0.45
2020,MINAS GERAIS,ANDRADAS,49.839999999999996
2016,TOCANTINS,XAMBIOA,967.98
2013,MINAS GERAIS,ITABIRITO,1009.13
2014,PERNAMBUCO,VICENCIA,4006
2022,SAO PAULO,ORIENTE,0.01
2013,PARAIBA,MATARACA,10498.78
2019,GOIAS,HIDROLANDIA,3.08
2021,SERGIPE,ARACAJU,1070.85
2018,MINAS GERAIS,UBAPORANGA,0.03
2020,RIO GRANDE DO SUL,PASSO FUNDO,1923.38
2014,SAO PAULO,LOUVEIRA,9.309999999999999
2014,MINAS GERAIS,TUPACIGUARA,458.07
2018,SERGIPE,ESTANCIA,54.25
2019,SAO PAULO,RAFARD,1045.02
2014,RIO GRANDE DO SUL,CHARRUA,0.02
2019,PARANA,SERTANOPOLIS,67.53999999999999
2021,TOCANTINS,GOIANORTE,200
2017,MINAS GERAIS,CONQUISTA,436.22
2013,MATO GROSSO DO SUL,PONTA PORA,369.17999999999995
2021,SAO PAULO,TAMBAU,431.7500000000001
2014,PIAUI,ILHA GRANDE,1715
2016,GOIAS,PILAR DE GOIAS,8048.64
2020,SAO PAULO,AVANHANDAVA,405.67
2018,MINAS GERAIS,CURVELO,32.28
2017,MATO GROSSO,SORRISO,5.029999999999999
2018,SAO PAULO,NOVA EUROPA,875.17
2014,SAO PAULO,CANDIDO MOTA,13
2020,SANTA CATARINA,VITOR MEIRELES,68.52000000000001
2013,SAO PAULO,PLANALTO,57.99999999999999
2020,MINAS GERAIS,PERDIZES,188
2018,PARANA,MARILANDIA DO SUL,0.02
2019,PARANA,CURITIBA,1989.26
2018,RIO GRANDE DO SUL,SAO JERONIMO,6.77
2016,PARAIBA,JUNCO DO SERIDO,8.12
2013,CEARA,ITAREMA,228.2
2019,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,58.76
2020,BAHIA,VERA CRUZ,0.39
2021,PARANA,IBEMA,38.35
2014,MINAS GERAIS,POCOS DE CALDAS,1056.1799999999998
2013,RONDONIA,ROLIM DE MOURA,7.9399999999999995
2021,BAHIA,RIACHAO DAS NEVES,0.34
2013,BAHIA,LAGOA REAL,0.01
2019,MINAS GERAIS,CAETE,0.02
2015,CEARA,CAUCAIA,2306.42
2015,BAHIA,CAMPO ALEGRE DE LOURDES,0.01
2015,MINAS GERAIS,ARAUJOS,79.61
2019,MARANHAO,CARUTAPERA,0.6
2020,SAO PAULO,ANDRADINA,1285.03
2021,PARANA,RIO AZUL,2.5
2016,MINAS GERAIS,IMBE DE MINAS,1.4
2020,RIO GRANDE DO SUL,CHARQUEADAS,30.26
2018,PARA,ALTAMIRA,0.05
2020,SAO PAULO,ORINDIUVA,731.29
2016,SERGIPE,UMBAUBA,3
2020,MINAS GERAIS,SAO LOURENCO,89.4
2020,MINAS GERAIS,PEDRA DO INDAIA,13.44
2015,GOIAS,PILAR DE GOIAS,8053.27
2013,SAO PAULO,TABOAO DA SERRA,994.55
2015,MINAS GERAIS,LAGOA SANTA,31670.37
2021,CEARA,AMONTADA,20.01
2018,PARA,TUCUMA,29.28
2013,RIO GRANDE DO NORTE,BARCELONA,0.01
2017,MINAS GERAIS,IBITIURA DE MINAS,1.01
2015,MINAS GERAIS,RIO CASCA,0.05
2018,PARANA,SAUDADE DO IGUACU,15.42
2019,CEARA,ITAICABA,2190.2400000000002
2015,BAHIA,SANTO ANTONIO DE JESUS,0.07
2021,GOIAS,INHUMAS,17.169999999999998
2016,MATO GROSSO,BARRA DO GARCAS,71.31000000000009
2020,PARA,ALENQUER,0.11999999999999998
2020,MINAS GERAIS,SERRANIA,20.259999999999998
2020,MINAS GERAIS,ITAMARANDIBA,3
2021,RIO GRANDE DO SUL,TUPANDI,5575.259999999999
2015,PARANA,PATO BRANCO,28.55
2018,SANTA CATARINA,CAMBORIU,4.54
2020,MINAS GERAIS,PONTE NOVA,3120.5600000000004
2016,SAO PAULO,CAPIVARI,63.580000000000005
2017,PARANA,IBAITI,2089.2100000000005
2018,SAO PAULO,DOURADO,0
2021,BAHIA,PINDAI,0.04
2014,SAO PAULO,VOTUPORANGA,2.1
2021,MATO GROSSO,CASTANHEIRA,863.25
2020,SAO PAULO,CESARIO LANGE,1.01
2014,RIO GRANDE DO SUL,TRES PASSOS,26.58
2021,PARANA,CHOPINZINHO,3262.17
2019,CEARA,PALHANO,307
2014,PARANA,JOAQUIM TAVORA,36665.52
2020,AMAZONAS,COARI,4449.849999999999
2021,MATO GROSSO,ARIPUANA,390.12
2019,MINAS GERAIS,CARANGOLA,0.62
2018,MINAS GERAIS,ITAMONTE,1765.1299999999999
2021,RIO GRANDE DO SUL,SAO SEPE,2.2
2016,SERGIPE,NOSSA SENHORA DO SOCORRO,31.22
2016,SAO PAULO,AVARE,104.06000000000002
2018,CEARA,PACATUBA,10894.69
2013,PARANA,SANTA TEREZA DO OESTE,0.33
2013,GOIAS,APARECIDA DE GOIANIA,84506892.55999999
2021,SANTA CATARINA,CHAPECO,11480.899999999998
2015,ESPIRITO SANTO,GUACUI,28.35
2014,RIO GRANDE DO SUL,ESPUMOSO,0.5
2020,RIO GRANDE DO SUL,SANTO ANGELO,366.66999999999996
2019,MATO GROSSO DO SUL,JARDIM,0.05
2014,GOIAS,FAZENDA NOVA,1
2020,BAHIA,LAJE,0.17
2021,SAO PAULO,SALTO DE PIRAPORA,26105.68
2015,PARANA,GOIOERE,13.92
2015,RIO DE JANEIRO,SAPUCAIA,50
2014,PARANA,PIRAQUARA,0.56
2020,BAHIA,MORRO DO CHAPEU,1.5
2017,SAO PAULO,PAULO DE FARIA,0.13
2021,BAHIA,CAMPO FORMOSO,3961
2018,PARANA,PORTO VITORIA,399
2020,RIO GRANDE DO SUL,TAQUARI,1251.49
2021,SAO PAULO,PORTO FELIZ,646.7499999999999
2017,MINAS GERAIS,SANTO ANTONIO DO MONTE,2.16
2015,PARANA,BITURUNA,16.23
2019,PARAIBA,CAAPORA,1815.35
2020,CEARA,HIDROLANDIA,1216.8
2018,PARANA,JARDIM OLINDA,33.18
2021,SAO PAULO,BARRA BONITA,1711.06
2017,BAHIA,CASA NOVA,15
2021,AMAPA,SANTANA,6.25
2018,TOCANTINS,COLMEIA,4.359999999999999
2019,RONDONIA,SAO MIGUEL DO GUAPORE,27.94
2018,MINAS GERAIS,HELIODORA,2
2021,RIO GRANDE DO SUL,PUTINGA,1.15
2021,TOCANTINS,NOVO JARDIM,0.1
2015,GOIAS,BELA VISTA DE GOIAS,0.13999999999999999
2020,PIAUI,PARNAIBA,22.05
2019,PARANA,PATO BRANCO,223.89000000000001
2017,RIO GRANDE DO SUL,GUAIBA,3025.92
2015,SANTA CATARINA,TRES BARRAS,1371.23
2014,GOIAS,GOIATUBA,1358.5
2019,PARANA,CHOPINZINHO,400.23
2016,MINAS GERAIS,GALILEIA,3.0900000000000003
2015,SAO PAULO,ARTUR NOGUEIRA,57.39
2015,GOIAS,MOSSAMEDES,0.01
2019,SAO PAULO,MONTE MOR,283.55999999999995
2015,SAO PAULO,SAO JOAO DA BOA VISTA,1673.3799999999999
2016,MINAS GERAIS,AGUAS FORMOSAS,0.04
2015,RIO GRANDE DO NORTE,CAICO,0.4
2016,MINAS GERAIS,LAGOA FORMOSA,0.05
2013,PARANA,JESUITAS,0.23
2014,PERNAMBUCO,TRINDADE,8699.84
2021,MINAS GERAIS,CARMOPOLIS DE MINAS,0.24
2020,SANTA CATARINA,NAVEGANTES,788.14
2016,SANTA CATARINA,BRACO DO TROMBUDO,1.2
2017,PARANA,UBIRATA,7.85
2019,PERNAMBUCO,SAO BENTO DO UNA,19450
2014,PARANA,QUATRO BARRAS,21.69
2017,TOCANTINS,CRISTALANDIA,54.78
2014,MINAS GERAIS,IRAI DE MINAS,1.08
2019,MATO GROSSO DO SUL,COSTA RICA,1262.76
2018,SAO PAULO,QUINTANA,2.16
2014,RIO GRANDE DO SUL,PORTO ALEGRE,224.40999999999994
2017,CEARA,PINDORETAMA,0.01
2021,PIAUI,PICOS,0.01
2021,SANTA CATARINA,GARUVA,2.49
2013,PARA,ITAITUBA,366.36
2018,SANTA CATARINA,ANTONIO CARLOS,5.04
2016,ESPIRITO SANTO,ALFREDO CHAVES,0.01
2016,SAO PAULO,GUAPIACU,189.41
2017,PARANA,MARECHAL CANDIDO RONDON,1307.71
2020,MATO GROSSO DO SUL,BATAGUASSU,210.21
2013,BAHIA,BARROCAS,0.36
2018,SAO PAULO,JUMIRIM,35.89000000000001
2021,SAO PAULO,IPUA,10.750000000000002
2020,ESPIRITO SANTO,NOVA VENECIA,437.56000000000006
2014,RIO GRANDE DO NORTE,CANGUARETAMA,2.1
2013,PARA,MARITUBA,68.1
2021,BAHIA,IBOTIRAMA,0.04
2017,SAO PAULO,GUARIBA,1886.2199999999998
2020,SAO PAULO,BORBOREMA,285
2015,BAHIA,MEDEIROS NETO,401.11
2017,RIO GRANDE DO SUL,SAO JERONIMO,4.79
2021,RIO GRANDE DO SUL,BOSSOROCA,3
2016,SAO PAULO,SANTOS,454068.9199999999
2015,MINAS GERAIS,PAULISTAS,3
2019,SANTA CATARINA,ILHOTA,454.03
2020,MATO GROSSO,RONDONOPOLIS,333346.28
2018,RONDONIA,CUJUBIM,4.01
2013,AMAPA,SERRA DO NAVIO,559.54
2013,PARANA,ANTONINA,209.28
2018,SERGIPE,ITABAIANINHA,12.790000000000003
2013,PARANA,SIQUEIRA CAMPOS,0
2017,SAO PAULO,GUARACI,740.27
2017,MATO GROSSO,COCALINHO,0
2015,PARA,SANTA BARBARA DO PARA,0.15
2021,RIO DE JANEIRO,VALENCA,1150.0100000000002
2019,PARANA,LARANJEIRAS DO SUL,60
2021,GOIAS,BELA VISTA DE GOIAS,41.05
2019,RIO DE JANEIRO,ITALVA,0.01
2018,PARA,ELDORADO DOS CARAJAS,6240.85
2020,RIO GRANDE DO SUL,SAO JOSE DO NORTE,11.07
2018,RIO GRANDE DO SUL,ESTACAO,26.189999999999998
2020,MATO GROSSO,VILA BELA DA SANTISSIMA TRINDADE,310.59
2020,RONDONIA,JARU,16145.1
2021,SAO PAULO,CAJATI,1861.56
2017,BAHIA,MORRO DO CHAPEU,1.5
2015,BAHIA,JUAZEIRO,1026.49
2018,MINAS GERAIS,BERIZAL,0.05
2021,SAO PAULO,RINCAO,1
2021,PIAUI,TERESINA,5485.510000000001
2015,BAHIA,MANOEL VITORINO,7920
2014,GOIAS,MONTES CLAROS DE GOIAS,200
2013,RIO GRANDE DO NORTE,PARNAMIRIM,231.66
2019,SERGIPE,TOMAR DO GERU,0.05
2017,MINAS GERAIS,SAO JOSE DO JACURI,0
2018,MATO GROSSO DO SUL,NIOAQUE,32.08
2017,RIO GRANDE DO SUL,ARARICA,1.2
2018,MATO GROSSO DO SUL,GLORIA DE DOURADOS,3
2015,RIO GRANDE DO NORTE,PARELHAS,61.77
2019,MINAS GERAIS,MONTE CARMELO,4.449999999999999
2019,RIO GRANDE DO NORTE,PENDENCIAS,4415.33
2016,SAO PAULO,TABOAO DA SERRA,780.1599999999999
2020,SAO PAULO,PANORAMA,0.02
2021,TOCANTINS,APARECIDA DO RIO NEGRO,0.01
2020,SAO PAULO,PIACATU,2.6
2018,SAO PAULO,CACONDE,15
2021,SANTA CATARINA,CAPIVARI DE BAIXO,138302.96999999997
2014,BAHIA,SAO SEBASTIAO DO PASSE,0.06
2015,RIO GRANDE DO SUL,CAPAO BONITO DO SUL,0.01
2019,PARA,SANTA MARIA DAS BARREIRAS,100.3
2019,SAO PAULO,DOIS CORREGOS,20.87
2020,ALAGOAS,TEOTONIO VILELA,4394
2020,MINAS GERAIS,CONSELHEIRO PENA,0
2021,TOCANTINS,LAGOA DA CONFUSAO,1
2016,ESPIRITO SANTO,AFONSO CLAUDIO,1.55
2015,SAO PAULO,CONCHAL,104835.57
2016,MINAS GERAIS,SAO JOAO DO PARAISO,0.01
2019,SANTA CATARINA,ATALANTA,108.41999999999999
2020,GOIAS,PEROLANDIA,1605.3999999999999
2018,MINAS GERAIS,SANTA RITA DE IBITIPOCA,3.31
2020,PARANA,CAPITAO LEONIDAS MARQUES,0.5
2018,SAO PAULO,DIVINOLANDIA,2.21
2015,MATO GROSSO DO SUL,BODOQUENA,1010.7
2015,SAO PAULO,SAO BERNARDO DO CAMPO,2418760.6999999997
2014,MATO GROSSO DO SUL,ITAPORA,51.97
2015,SAO PAULO,GUARUJA,18.4
2019,SAO PAULO,PRATANIA,25
2017,PARANA,MALLET,541.52
2013,MINAS GERAIS,FELIXLANDIA,1.7
2015,RIO GRANDE DO SUL,VILA FLORES,2
2017,RIO GRANDE DO NORTE,CRUZETA,110.10000000000001
2019,RIO GRANDE DO SUL,SANTO AUGUSTO,0.30000000000000004
2016,MINAS GERAIS,BELMIRO BRAGA,23501.43
2015,MINAS GERAIS,RESSAQUINHA,12.73
2017,SANTA CATARINA,VIDAL RAMOS,2997.92
2014,MINAS GERAIS,JAGUARACU,489.27
2021,PARA,SANTANA DO ARAGUAIA,334.23
2014,AMAZONAS,PRESIDENTE FIGUEIREDO,153.83
2015,SAO PAULO,FERNANDOPOLIS,430.01
2019,RIO GRANDE DO SUL,TUPARENDI,38.13999999999999
2021,SANTA CATARINA,CUNHA PORA,99.45
2015,RIO GRANDE DO SUL,ERECHIM,1716.0800000000002
2016,MARANHAO,MIRANDA DO NORTE,8.15
2019,PARA,SAO DOMINGOS DO ARAGUAIA,0.01
2015,PARANA,SERRANOPOLIS DO IGUACU,25
2015,RONDONIA,CUJUBIM,6.5
2021,CEARA,CAUCAIA,1456.75
2019,RIO GRANDE DO SUL,SAO LEOPOLDO,79809876.4
2013,RIO GRANDE DO SUL,PEDRO OSORIO,464.82000000000005
2016,RIO GRANDE DO SUL,ALPESTRE,0.1
2015,RIO GRANDE DO SUL,SAO JERONIMO,5.17
2013,RIO GRANDE DO SUL,ERECHIM,76126.61
2014,MINAS GERAIS,MUZAMBINHO,0.03
2017,GOIAS,GOIANAPOLIS,0.02
2014,RIO GRANDE DO SUL,GUAPORE,10.02
2014,RIO GRANDE DO NORTE,ASSU,8243.25
2014,PARAIBA,TAPEROA,17.990000000000002
2019,SAO PAULO,SANTA CRUZ DO RIO PARDO,60.190000000000005
2015,CEARA,CASCAVEL,46217.67
2019,MINAS GERAIS,ARCOS,1695.56
2019,SAO PAULO,DOURADO,0
2016,RIO GRANDE DO SUL,MAMPITUBA,0.02
2014,ESPIRITO SANTO,SAO GABRIEL DA PALHA,4.25
2019,PIAUI,PIRIPIRI,1110
2018,ESPIRITO SANTO,CONCEICAO DO CASTELO,0.01
2016,PARANA,CORONEL VIVIDA,72.91
2019,RIO GRANDE DO SUL,BOM RETIRO DO SUL,10.55
2014,PARANA,BOCAIUVA DO SUL,2.1
2021,RIO GRANDE DO SUL,SAO LUIZ GONZAGA,7.91
2014,MINAS GERAIS,MANTENA,0.07
2019,PARAIBA,CATOLE DO ROCHA,0.08
2016,PARANA,FERNANDES PINHEIRO,59.099999999999994
2014,RONDONIA,CUJUBIM,0.5
2019,SAO PAULO,JAU,399.83
2020,SAO PAULO,CORUMBATAI,9.030000000000001
2019,RIO GRANDE DO NORTE,NISIA FLORESTA,0.04
2017,SANTA CATARINA,SAO LUDGERO,94.34
2016,SAO PAULO,ALTINOPOLIS,2
2016,SAO PAULO,IBITINGA,0.03
2014,RIO GRANDE DO SUL,ENTRE-IJUIS,2.48
2017,SAO PAULO,JARDINOPOLIS,6.029999999999999
2019,MINAS GERAIS,PAPAGAIOS,4.22
2016,BAHIA,TERRA NOVA,31.36
2020,MARANHAO,AXIXA,6.02
2017,RIO GRANDE DO SUL,BOA VISTA DO BURICA,10000
2016,TOCANTINS,DIVINOPOLIS DO TOCANTINS,6.99
2013,PERNAMBUCO,SAO BENTO DO UNA,12484.8
2019,PARANA,UNIAO DA VITORIA,15008.98
2013,SAO PAULO,IACANGA,510.79999999999995
2015,RIO GRANDE DO SUL,VILA LANGARO,0.01
2016,MATO GROSSO DO SUL,ITAQUIRAI,2.95
2020,SANTA CATARINA,BALNEARIO PICARRAS,2.98
2019,MINAS GERAIS,SERRA DOS AIMORES,62.3
2020,PARANA,PARAISO DO NORTE,545.0200000000001
2017,PERNAMBUCO,CARUARU,8.819999999999999
2021,SAO PAULO,MAIRINQUE,62.7
2019,ESPIRITO SANTO,JOAO NEIVA,808.45
2019,MINAS GERAIS,OLIVEIRA,5.25
2021,MATO GROSSO,JUINA,999.99
2021,SANTA CATARINA,BANDEIRANTE,0.02
2021,SAO PAULO,JANDIRA,507.38
2021,BAHIA,CACHOEIRA,82
2017,CEARA,PARAIPABA,3974.62
2017,SAO PAULO,SANTA MARIA DA SERRA,0.02
2013,RIO GRANDE DO SUL,DOUTOR MAURICIO CARDOSO,1.41
2014,RIO GRANDE DO SUL,CANELA,43.89
2016,MINAS GERAIS,JOAO PINHEIRO,126193.3
2019,RIO GRANDE DO SUL,NOVA SANTA RITA,38086.33
2016,MINAS GERAIS,MATEUS LEME,8.91
2013,RIO GRANDE DO SUL,NOVA PALMA,60
2018,RIO GRANDE DO SUL,PORTAO,274.39999999999986
2014,SAO PAULO,RAFARD,952.25
2021,ACRE,BRASILEIA,0.31
2018,RORAIMA,BOA VISTA,36.97
2018,SAO PAULO,JACAREI,7424.280000000001
2018,RONDONIA,CACAULANDIA,0.09
2013,MINAS GERAIS,TAQUARACU DE MINAS,1.2999999999999998
2014,PARANA,CARLOPOLIS,10
2019,MATO GROSSO DO SUL,SONORA,2.9000000000000004
2021,RIO GRANDE DO SUL,CAMARGO,200.22
2020,RIO GRANDE DO SUL,POCO DAS ANTAS,60
2013,BAHIA,BARREIRAS,235.31
2020,MATO GROSSO,ALTA FLORESTA,7039.4
2014,RIO GRANDE DO SUL,PIRATINI,7.3
2013,RIO GRANDE DO SUL,ALPESTRE,0.5700000000000001
2014,MINAS GERAIS,PINTOPOLIS,0.02
2021,MINAS GERAIS,ITACARAMBI,56.3
2016,RIO GRANDE DO SUL,CRUZ ALTA,25.63
2019,CEARA,ACOPIARA,36504
2016,BAHIA,PAU BRASIL,0.01
2013,SAO PAULO,TABAPUA,0.02
2021,RIO GRANDE DO SUL,MONTENEGRO,907.5
2016,MINAS GERAIS,VISCONDE DO RIO BRANCO,23459.979999999992
2016,SANTA CATARINA,ARARANGUA,10.98
2020,PARANA,FRANCISCO BELTRAO,350.12
2021,MINAS GERAIS,CORONEL FABRICIANO,1.4000000000000001
2018,MINAS GERAIS,LIBERDADE,5
2021,PARAIBA,RIO TINTO,569.06
2014,SAO PAULO,NUPORANGA,636.41
2015,SAO PAULO,ADAMANTINA,0.03
2015,SANTA CATARINA,RIO DO OESTE,2
2015,MINAS GERAIS,ITACARAMBI,116
2021,SAO PAULO,PRAIA GRANDE,0
2021,PARANA,IMBAU,81.21000000000001
2016,RIO GRANDE DO NORTE,CEARA-MIRIM,1390.01
2018,MINAS GERAIS,TUPACIGUARA,2643.5899999999997
2015,MINAS GERAIS,ESPERA FELIZ,0.05
2015,MINAS GERAIS,BOM JARDIM DE MINAS,28.02
2021,BAHIA,SERRA DOURADA,0.04
2021,MINAS GERAIS,INGAI,0.15
2018,GOIAS,VALPARAISO DE GOIAS,0.12000000000000001
2021,PIAUI,PARNAIBA,9.05
2013,BAHIA,ITANHEM,36.1
2021,MINAS GERAIS,PEQUI,0.32000000000000006
2020,BAHIA,QUIXABEIRA,25
2013,MINAS GERAIS,SETE LAGOAS,16915.440000000002
2014,SANTA CATARINA,PRESIDENTE GETULIO,152.07999999999998
2015,SERGIPE,UMBAUBA,4.5
2013,SAO PAULO,MENDONCA,869.3199999999999
2019,RONDONIA,SANTA LUZIA D'OESTE,0.4
2021,RIO GRANDE DO SUL,CARLOS BARBOSA,207.19
2017,PIAUI,TERESINA,179389.46000000002
2018,PARA,PRIMAVERA,1899.3600000000001
2015,MINAS GERAIS,SAO JOAO DO ORIENTE,50.129999999999995
2019,SAO PAULO,AGUAS DE LINDOIA,15000.03
2018,MINAS GERAIS,URUCANIA,14411
2018,MINAS GERAIS,RIO PIRACICABA,0.83
2018,SAO PAULO,PARAGUACU PAULISTA,3082.45
2018,MINAS GERAIS,ARAPUA,2.58
2019,BAHIA,TEIXEIRA DE FREITAS,4.18
2013,SAO PAULO,DESCALVADO,77.92
2019,PARA,PICARRA,1.7
2022,PARANA,APUCARANA,312.7
2019,SAO PAULO,SANTO ANTONIO DA ALEGRIA,0.52
2017,MINAS GERAIS,ARAUJOS,6110.89
2019,PIAUI,CASTELO DO PIAUI,0.01
2020,PERNAMBUCO,TUPARETAMA,15
2014,SAO PAULO,ANALANDIA,15
2014,SAO PAULO,JUNDIAI,37874.98
2021,RIO GRANDE DO SUL,NOVA ESPERANCA DO SUL,19.39
2016,SAO PAULO,BURITAMA,10.01
2017,PARANA,MISSAL,39.24
2018,CEARA,PIQUET CARNEIRO,12
2019,MINAS GERAIS,SANTANA DA VARGEM,0.04
2022,PARANA,CURITIBA,11.239999999999998
2015,CEARA,JUAZEIRO DO NORTE,121.45000000000002
2019,SAO PAULO,TAIACU,0
2021,MINAS GERAIS,BERIZAL,0.06
2020,BAHIA,SAO GONCALO DOS CAMPOS,17.43
2020,RIO GRANDE DO SUL,CHAPADA,0.11
2015,BAHIA,ITAGIMIRIM,15.85
2017,PARANA,RIO AZUL,11.16
2018,RIO DE JANEIRO,MIGUEL PEREIRA,0.99
2019,RIO GRANDE DO SUL,TRES CACHOEIRAS,0.01
2021,RIO GRANDE DO SUL,ALPESTRE,0.04
2019,BAHIA,CANARANA,69.89
2018,MINAS GERAIS,PAULA CANDIDO,1500
2015,RIO DE JANEIRO,MIRACEMA,1.5
2014,RIO GRANDE DO SUL,TUPANDI,1.03
2016,ESPIRITO SANTO,SANTA TERESA,1475.38
2014,SANTA CATARINA,IRINEOPOLIS,73.23
2018,MINAS GERAIS,SAO FRANCISCO DE PAULA,0.18
2015,BAHIA,ITAGIBA,3
2018,TOCANTINS,GURUPI,7455.02
2013,TOCANTINS,BERNARDO SAYAO,59.98
2020,SANTA CATARINA,CANELINHA,404.58
2014,CEARA,MAURITI,840
2017,SAO PAULO,JALES,7002
2018,RIO GRANDE DO SUL,BROCHIER,0.01
2017,MINAS GERAIS,ATALEIA,0.01
2018,MINAS GERAIS,IPANEMA,0.8
2020,PARANA,PRIMEIRO DE MAIO,0
2015,PARANA,CAMPO LARGO,69.54
2016,RIO GRANDE DO SUL,MORRO REUTER,0.01
2021,GOIAS,NIQUELANDIA,0
2017,MINAS GERAIS,GUARANI,1.4
2014,SANTA CATARINA,TIMBO GRANDE,41.6
2021,SANTA CATARINA,SAO JOAO DO ITAPERIU,4.4
2014,RIO DE JANEIRO,PARAIBA DO SUL,0.11
2017,MINAS GERAIS,CARMOPOLIS DE MINAS,0.55
2016,GOIAS,CACHOEIRA DOURADA,1444.94
2020,MINAS GERAIS,INCONFIDENTES,0.8
2017,MINAS GERAIS,BANDEIRA DO SUL,0.54
2016,SAO PAULO,CAPAO BONITO,0.01
2013,SAO PAULO,ARCO-IRIS,0.2
2015,RONDONIA,NOVO HORIZONTE DO OESTE,0.75
2016,RIO DE JANEIRO,MACAE,638908233.9300001
2015,SAO PAULO,TORRINHA,0.48
2013,SANTA CATARINA,MAJOR VIEIRA,65.21
2018,ALAGOAS,SAO JOSE DA LAJE,42
2013,MINAS GERAIS,NOVA ERA,3504
2019,CEARA,JUCAS,48.58
2018,SANTA CATARINA,HERVAL D'OESTE,42.37
2020,GOIAS,BRAZABRANTES,245
2021,BAHIA,MORRO DO CHAPEU,1.5
2015,MINAS GERAIS,NAZARENO,456.66999999999996
2021,MINAS GERAIS,SAO GONCALO DO PARA,19
2015,MINAS GERAIS,PEDRO LEOPOLDO,88259.49000000002
2013,PARA,BREU BRANCO,253133.33
2020,MINAS GERAIS,DORESOPOLIS,0.18
2017,SAO PAULO,SEBASTIANOPOLIS DO SUL,1411.15
2019,SAO PAULO,BORBOREMA,275
2021,PARANA,BANDEIRANTES,497.49
2014,SAO PAULO,SAO VICENTE,129.70999999999998
2015,SAO PAULO,VALPARAISO,2170.27
2021,MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,7096.1
2016,MINAS GERAIS,PRESIDENTE OLEGARIO,63
2015,ESPIRITO SANTO,COLATINA,114.1
2021,SANTA CATARINA,RIO DO OESTE,1.8099999999999998
2015,RIO GRANDE DO SUL,FARROUPILHA,2688.8600000000006
2014,MATO GROSSO DO SUL,DEODAPOLIS,11.409999999999998
2020,RIO GRANDE DO SUL,PORTAO,819.7900000000001
2019,RIO GRANDE DO NORTE,CARNAUBAIS,1.21
2013,SAO PAULO,VARZEA PAULISTA,964.8499999999999
2016,SANTA CATARINA,PONTE ALTA DO NORTE,22.7
2013,MINAS GERAIS,CLARAVAL,0.44
2014,SAO PAULO,MOMBUCA,0.07
2018,MARANHAO,COLINAS,16
2016,SAO PAULO,IGARAPAVA,1406.71
2014,RIO GRANDE DO SUL,SOLEDADE,35.96
2014,MINAS GERAIS,JECEABA,1036.24
2017,SAO PAULO,BROTAS,282.01
2018,RONDONIA,OURO PRETO DO OESTE,0.30000000000000004
2013,ACRE,XAPURI,200
2018,SAO PAULO,PORTO FELIZ,715.9900000000001
2014,MINAS GERAIS,AIMORES,4430
2020,ALAGOAS,CAMPO ALEGRE,611.72
2014,MINAS GERAIS,SANTA RITA DE IBITIPOCA,0.14
2014,GOIAS,ITUMBIARA,71626.62000000001
2017,RIO GRANDE DO SUL,MONTAURI,0.1
2017,MATO GROSSO DO SUL,FATIMA DO SUL,278
2013,MINAS GERAIS,PIRAJUBA,241565.5
2018,MINAS GERAIS,PORTEIRINHA,0
2013,MINAS GERAIS,BONFIM,0.14
2015,SANTA CATARINA,SAO MIGUEL DO OESTE,741.48
2019,RIO GRANDE DO SUL,CARAZINHO,165.93
2018,PERNAMBUCO,SAO JOSE DO BELMONTE,9.84
2015,BAHIA,CASTRO ALVES,267.61
2014,PARANA,CAPANEMA,1.87
2021,MINAS GERAIS,MADRE DE DEUS DE MINAS,385
2014,SERGIPE,NOSSA SENHORA DO SOCORRO,1459.2300000000002
2021,PARANA,PARANAPOEMA,164.1
2015,SAO PAULO,BOCAINA,264.03
2018,MINAS GERAIS,BARBACENA,515.4300000000001
2016,GOIAS,DIVINOPOLIS DE GOIAS,69.02
2022,RIO DE JANEIRO,PETROPOLIS,3.96
2013,BAHIA,DIAS D'AVILA,419189.51999999996
2014,RIO DE JANEIRO,RIO BONITO,0.02
2018,SANTA CATARINA,SAO JOAO DO OESTE,96.13
2021,PERNAMBUCO,TORITAMA,1306.9599999999998
2017,BAHIA,CATURAMA,146
2015,RIO GRANDE DO SUL,SENTINELA DO SUL,23.2
2020,PARANA,CURIUVA,13.28
